"Time","60 right DS","59 left DS","37a CoMy (cm)","37 CoMy (cm)","v1 xCoM","v3 L COP","v2 R COP","3 Platform"
0.278,1,0,-1.082219,4.834321,4.784073,0.000000,3.648628,1.48462
0.279,1,0,-1.045676,4.833398,4.783206,0.000000,3.650452,1.48466
0.280,1,0,-1.011331,4.832585,4.782345,0.000000,3.651885,1.48305
0.281,1,0,-0.976986,4.831773,4.781483,0.000000,3.654104,1.48349
0.282,1,0,-0.942641,4.830961,4.780621,0.000000,3.656479,1.48293
0.283,1,0,-0.924812,4.830227,4.779903,0.000000,3.662737,1.48401
0.284,1,0,-0.912429,4.829520,4.779233,0.000000,3.669768,1.48388
0.285,1,0,-0.900046,4.828813,4.778562,0.000000,3.675908,1.48395
0.286,1,0,-0.887663,4.828106,4.777892,0.000000,3.681870,1.48298
0.287,1,0,-0.892104,4.827335,4.777410,0.000000,3.682003,1.48443
0.288,1,0,-0.902093,4.826542,4.776989,0.000000,3.680976,1.48310
0.289,1,0,-0.912082,4.825750,4.776569,0.000000,3.678519,1.48210
0.290,1,0,-0.922070,4.824958,4.776149,0.000000,3.675777,1.48305
0.291,1,0,-0.939425,4.823873,4.775912,0.000000,3.676990,1.48387
0.292,1,0,-0.959209,4.822692,4.775735,0.000000,3.678990,1.47957
0.293,1,0,-0.978992,4.821511,4.775559,0.000000,3.682857,1.48689
0.294,1,0,-0.998776,4.820330,4.775382,0.000000,3.687096,1.48351
0.295,1,0,-1.013658,4.819384,4.775226,0.000000,3.689929,1.48467
0.296,1,0,-1.026922,4.818516,4.775076,0.000000,3.692482,1.48174
0.297,1,0,-1.040187,4.817648,4.774926,0.000000,3.694556,1.48391
0.298,1,0,-1.053451,4.816780,4.774776,0.000000,3.696533,1.48279
0.299,1,0,-1.053102,4.815653,4.774569,0.000000,3.699481,1.48397
0.300,1,0,-1.048265,4.814442,4.774342,0.000000,3.702623,1.48468
0.301,1,0,-1.043427,4.813231,4.774116,0.000000,3.705197,1.48407
0.302,1,0,-1.038589,4.812019,4.773889,0.000000,3.707658,1.48179
0.303,1,0,-1.015456,4.810830,4.773567,0.000000,3.707908,1.48346
0.304,1,0,-0.986289,4.809648,4.773214,0.000000,3.707718,1.48365
0.305,1,0,-0.957123,4.808466,4.772861,0.000000,3.707018,1.48326
0.306,1,0,-0.927956,4.807284,4.772508,0.000000,3.706216,1.48307
0.307,1,0,-0.889500,4.806296,4.772173,0.000000,3.706916,1.48104
0.308,1,0,-0.847981,4.805372,4.771845,0.000000,3.707914,1.48471
0.309,1,0,-0.806461,4.804449,4.771517,0.000000,3.709535,1.47672
0.310,1,0,-0.764941,4.803525,4.771189,0.000000,3.711280,1.48310
0.311,1,0,-0.727319,4.802917,4.771013,0.000000,3.712243,1.48427
0.312,1,0,-0.690983,4.802413,4.770889,0.000000,3.713050,1.48463
0.313,1,0,-0.654646,4.801910,4.770764,0.000000,3.712972,1.48330
0.314,1,0,-0.618310,4.801406,4.770639,0.000000,3.712717,1.48452
0.315,1,0,-0.596169,4.800956,4.770764,0.000000,3.711731,1.48387
0.316,1,0,-0.578710,4.800522,4.770971,0.000000,3.710598,1.48509
0.317,1,0,-0.561251,4.800089,4.771178,0.000000,3.708383,1.48463
0.318,1,0,-0.543792,4.799655,4.771384,0.000000,3.705951,1.48746
0.319,1,1,-0.535572,4.799299,4.771796,2.375799,3.702378,1.48533
0.320,1,1,-0.530398,4.798967,4.772276,5.224480,3.698577,1.48528
0.321,1,1,-0.525225,4.798635,4.772756,5.696148,3.695550,1.48479
0.322,1,1,-0.520052,4.798304,4.773235,5.694694,3.692678,1.48302
0.323,1,1,-0.515417,4.797614,4.773898,5.696239,3.692467,1.48216
0.324,1,1,-0.510959,4.796806,4.774622,5.698380,3.692786,1.48371
0.325,1,1,-0.506501,4.795998,4.775345,5.701319,3.694993,1.48285
0.326,1,1,-0.502043,4.795189,4.776069,5.704415,3.697577,1.48295
0.327,1,1,-0.488450,4.794514,4.776885,5.706112,3.700538,1.48421
0.328,1,1,-0.471846,4.793883,4.777731,5.707530,3.703575,1.48387
0.329,1,1,-0.455241,4.793252,4.778578,5.710763,3.705526,1.48297
0.330,1,1,-0.438636,4.792620,4.779424,5.714355,3.707261,1.48469
0.331,1,1,-0.415935,4.792333,4.780216,5.723042,3.707142,1.48421
0.332,1,1,-0.391224,4.792161,4.780990,5.732743,3.706655,1.48498
0.333,1,1,-0.366513,4.791987,4.781763,5.744204,3.706616,1.48401
0.334,1,1,-0.341802,4.791815,4.782537,5.756015,3.706666,1.48513
0.335,1,1,-0.306824,4.791584,4.783212,5.765118,3.709466,1.48508
0.336,1,1,-0.268461,4.791334,4.783855,5.773681,3.712812,1.48358
0.337,1,1,-0.230098,4.791083,4.784499,5.778382,3.717269,1.48432
0.338,1,1,-0.191735,4.790833,4.785142,5.782315,3.721946,1.48213
0.339,1,1,-0.152196,4.790505,4.785749,5.782772,3.725462,1.48256
0.340,1,1,-0.112268,4.790153,4.786345,5.782537,3.728746,1.48418
0.341,1,1,-0.072340,4.789800,4.786941,5.781940,3.730771,1.48407
0.342,1,1,-0.032413,4.789447,4.787536,5.781271,3.732546,1.48391
0.343,1,1,0.004557,4.789373,4.788186,5.782643,3.733688,1.48336
0.344,1,1,0.040550,4.789391,4.788854,5.784420,3.734704,1.48282
0.345,1,1,0.076544,4.789409,4.789522,5.783949,3.736211,1.48391
0.346,1,1,0.112538,4.789427,4.790190,5.783031,3.737816,1.48269
0.347,1,1,0.137040,4.789855,4.791010,5.775591,3.740664,1.48294
0.348,1,1,0.157753,4.790420,4.791882,5.766853,3.743760,1.48422
0.349,1,1,0.178465,4.790983,4.792753,5.755962,3.746542,1.48315
0.350,1,1,0.199178,4.791547,4.793625,5.744642,3.749262,1.48406
0.351,1,1,0.203260,4.791898,4.794615,5.736497,3.750119,1.48451
