"1 Chan 1","2 Chan 2","3 Chan 3","4 Chan 4"
"0.00650","0.005235","0.024581","0.004110"
"0.00683","0.005183","0.024439","0.004052"
"0.00713","0.005158","0.024347","0.004033"
"0.00741","0.005149","0.024306","0.003970"
"0.00776","0.005153","0.024189","0.003937"
"0.00806","0.005145","0.024190","0.003911"
"0.00830","0.005171","0.024742","0.003927"
"0.01098","0.005437","0.026389","0.004030"
"0.01675","0.005760","0.028183","0.003869"
"0.02461","0.006245","0.030015","0.004162"
"0.03313","0.006730","0.032361","0.004714"
"0.04296","0.007203","0.035390","0.005205"
"0.05528","0.007715","0.039258","0.005459"
"0.06840","0.008324","0.043576","0.005910"
"0.08247","0.009126","0.048315","0.006491"
"0.09674","0.009913","0.053323","0.007401"
"0.11127","0.010679","0.058475","0.008522"
"0.12587","0.011444","0.063678","0.009833"
"0.14039","0.012255","0.069262","0.011348"
"0.15469","0.013014","0.075625","0.013409"
"0.16894","0.013769","0.082370","0.015926"
"0.18319","0.014506","0.088684","0.018819"
"0.19501","0.015009","0.093710","0.022516"
"0.20374","0.015452","0.098379","0.027245"
"0.21050","0.015663","0.102357","0.033021"
"0.21663","0.015830","0.105492","0.039511"
"0.22151","0.015990","0.107655","0.047275"
"0.22381","0.016096","0.108954","0.056054"
"0.22522","0.016015","0.109783","0.065463"
"0.22558","0.015712","0.110739","0.075344"
"0.22581","0.015394","0.111268","0.085909"
"0.22579","0.015071","0.111826","0.097062"
"0.22575","0.014717","0.112489","0.109011"
"0.22586","0.014334","0.112685","0.121269"
"0.22633","0.014085","0.112311","0.133023"
"0.22712","0.013870","0.111530","0.144531"
"0.22798","0.013734","0.110837","0.156031"
"0.22877","0.013638","0.110634","0.166755"
"0.22950","0.013530","0.110551","0.177094"
"0.22998","0.013493","0.110648","0.186383"
"0.23035","0.013369","0.110643","0.196043"
"0.23032","0.013273","0.111322","0.204917"
"0.23004","0.013078","0.111915","0.213662"
"0.22849","0.012885","0.112037","0.221693"
"0.22422","0.012597","0.111500","0.229829"
"0.21789","0.012142","0.110634","0.237319"
"0.21096","0.011659","0.108867","0.244158"
"0.20277","0.011190","0.106606","0.250265"
"0.19197","0.010720","0.103479","0.256179"
"0.18010","0.010020","0.099747","0.262009"
"0.16699","0.009122","0.095463","0.267471"
"0.15358","0.008159","0.090848","0.272211"
"0.13996","0.007182","0.085889","0.276655"
"0.12625","0.006233","0.081045","0.280502"
"0.11269","0.005260","0.076352","0.283779"
"0.09939","0.004438","0.071201","0.285191"
"0.08654","0.003658","0.065129","0.285787"
"0.07397","0.003065","0.059053","0.285405"
"0.06260","0.002569","0.053703","0.284091"
"0.05403","0.002175","0.048571","0.281450"
"0.04736","0.002012","0.044546","0.277106"
"0.04130","0.001926","0.041513","0.271876"
"0.03639","0.001865","0.039301","0.265092"
"0.03397","0.001803","0.038044","0.257244"
"0.03247","0.001926","0.037126","0.248646"
"0.03206","0.002277","0.036196","0.239581"
"0.03185","0.002648","0.035565","0.229857"
"0.03189","0.003039","0.034995","0.219872"
"0.03204","0.003471","0.034430","0.209139"
"0.03212","0.003984","0.034304","0.197916"
"0.03187","0.004409","0.034903","0.187173"
"0.03127","0.004788","0.036076","0.176714"
"0.03059","0.005073","0.037230","0.166152"
"0.02994","0.005296","0.037982","0.156320"
"0.02932","0.005563","0.038532","0.146791"
"0.02874","0.005811","0.038695","0.138101"
"0.02815","0.006110","0.038952","0.128960"
"0.02763","0.006379","0.038612","0.120690"
"0.02701","0.006702","0.037965","0.112409"
"0.02623","0.007001","0.037411","0.104636"
"0.02519","0.007314","0.037405","0.097097"
"0.02398","0.007669","0.037654","0.089738"
"0.02261","0.008047","0.038188","0.082320"
"0.02117","0.008365","0.038769","0.075618"
"0.01976","0.008627","0.039103","0.069407"
"0.01848","0.008939","0.039401","0.063197"
"0.01748","0.009259","0.039574","0.057063"
"0.01653","0.009607","0.039797","0.051332"
"0.01561","0.009971","0.040162","0.045693"
"0.01469","0.010286","0.040505","0.040355"
"0.01381","0.010562","0.040672","0.035451"
"0.01297","0.010758","0.040489","0.031705"
"0.01214","0.010954","0.040545","0.028271"
"0.01143","0.011031","0.040932","0.025550"
"0.01087","0.011070","0.041309","0.023099"
"0.01050","0.011060","0.041640","0.020987"
"0.01032","0.011005","0.041708","0.019548"
"0.01021","0.010915","0.041589","0.018411"
"0.01014","0.010821","0.041460","0.017440"
"0.01007","0.010728","0.041426","0.016566"
"0.01000","0.010643","0.041573","0.015768"
"0.00989","0.010545","0.041857","0.015011"
"0.00979","0.010455","0.042193","0.014139"
"0.00967","0.010359","0.042450","0.013046"
"0.00953","0.010251","0.042539","0.011897"
"0.00934","0.010117","0.042485","0.010737"
"0.00916","0.009937","0.042354","0.009612"
"0.00905","0.009746","0.042172","0.008551"
"0.00911","0.009549","0.041843","0.007480"
"0.00924","0.009303","0.041297","0.006422"
"0.00937","0.009021","0.040700","0.005443"
"0.00949","0.008697","0.039985","0.004646"
"0.00965","0.008351","0.039260","0.004043"
"0.00986","0.008009","0.038496","0.003536"
"0.01014","0.007637","0.037742","0.003046"
"0.01059","0.007248","0.037135","0.002548"
"0.01105","0.006863","0.036478","0.002061"
"0.01149","0.006486","0.035674","0.001706"
"0.01195","0.006135","0.034925","0.001576"
"0.01238","0.005848","0.034511","0.001504"
"0.01269","0.005629","0.034238","0.001494"
"0.01285","0.005455","0.034167","0.001504"
"0.01288","0.005328","0.034119","0.001524"
"0.01272","0.005225","0.034298","0.001604"
"0.01250","0.005181","0.034710","0.001671"
"0.01226","0.005173","0.035174","0.001730"
"0.01206","0.005195","0.035748","0.001789"
