"1 Chan 1","2 Chan 2","3 Chan 3","4 Chan 4"
0.009300,"0.035110","0.004117","0.014830"
0.009253,"0.036951","0.003972","0.014501"
0.009199,"0.038753","0.003861","0.014214"
0.009158,"0.040756","0.003760","0.013913"
0.009112,"0.042923","0.003688","0.013588"
0.009080,"0.045024","0.003616","0.013339"
0.009117,"0.047001","0.003514","0.013168"
0.009176,"0.048999","0.003392","0.013055"
0.009231,"0.050908","0.003275","0.013074"
0.009309,"0.052828","0.003163","0.013138"
0.009379,"0.054457","0.003050","0.013169"
0.009433,"0.055272","0.002951","0.013268"
0.009501,"0.055952","0.002863","0.013430"
0.009586,"0.056460","0.002806","0.013550"
0.009673,"0.056365","0.002755","0.013676"
0.009707,"0.055815","0.002756","0.013749"
0.009703,"0.055303","0.002774","0.013734"
0.009749,"0.054651","0.002800","0.013892"
0.009848,"0.054880","0.002843","0.014045"
0.009965,"0.054993","0.002872","0.014223"
0.010071,"0.055006","0.002880","0.014468"
0.010183,"0.055011","0.002898","0.014730"
0.010306,"0.054966","0.002895","0.015078"
0.010457,"0.054763","0.002897","0.015434"
0.010624,"0.054426","0.002917","0.015778"
0.010770,"0.054100","0.002923","0.016069"
0.010968,"0.053281","0.002899","0.016385"
0.011130,"0.052811","0.002881","0.016513"
0.011244,"0.052273","0.002884","0.016478"
0.011354,"0.051892","0.002862","0.016490"
0.011411,"0.052196","0.002850","0.016349"
0.011439,"0.052764","0.002842","0.016092"
0.011434,"0.053246","0.002834","0.015773"
0.011430,"0.054141","0.002846","0.015375"
0.011342,"0.055220","0.002859","0.015013"
0.011262,"0.056679","0.002870","0.014649"
0.011184,"0.058426","0.002886","0.014171"
0.011105,"0.058946","0.002871","0.013791"
0.011017,"0.059197","0.002857","0.013449"
