"1 Chan 1","2 Chan 2","3 Chan 3"
"0.084626","0.040921","0.005524"
"0.084995","0.042357","0.006156"
"0.086872","0.043350","0.005966"
"0.087874","0.043521","0.006082"
"0.087815","0.043344","0.006285"
"0.086298","0.042524","0.006851"
"0.084592","0.040580","0.007580"
"0.081243","0.037699","0.008503"
"0.077914","0.034508","0.009377"
"0.074426","0.031270","0.010324"
"0.072682","0.028102","0.011252"
"0.071156","0.024544","0.012243"
"0.069700","0.021412","0.013226"
"0.069299","0.018705","0.013697"
"0.070247","0.015594","0.013643"
"0.071499","0.012752","0.013287"
"0.072609","0.010017","0.012984"
"0.072664","0.007424","0.013422"
"0.072948","0.005402","0.013703"
"0.074314","0.003750","0.013502"
"0.075321","0.002163","0.013602"
"0.075442","0.001415","0.014057"
"0.077064","0.001046","0.014310"
"0.077920","0.000804","0.014664"
"0.079611","0.000586","0.014761"
"0.080967","0.000400","0.014845"
"0.082123","0.000272","0.014890"
"0.081583","0.000250","0.015028"
"0.079969","0.000250","0.015268"
"0.076097","0.000264","0.015901"
"0.072197","0.000265","0.016609"
"0.068131","0.000311","0.017306"
"0.064876","0.000423","0.017563"
"0.061232","0.000557","0.017844"
"0.057979","0.000661","0.018212"
"0.055552","0.000734","0.018527"
"0.054503","0.000830","0.018548"
"0.052637","0.000994","0.018673"
"0.051306","0.001122","0.018733"
"0.049603","0.001237","0.019044"
"0.048470","0.001319","0.019398"
"0.047469","0.001375","0.019881"
"0.048369","0.001495","0.020012"
"0.048776","0.001710","0.020430"
"0.050603","0.001916","0.020663"
"0.051367","0.002190","0.021096"
"0.051509","0.002440","0.021678"
"0.051215","0.002659","0.022317"
"0.051329","0.002857","0.022821"
"0.050670","0.002952","0.023546"
"0.049814","0.002910","0.024389"
"0.048497","0.002843","0.025108"
"0.046553","0.002761","0.025714"
"0.045027","0.002645","0.026100"
"0.043464","0.002529","0.026443"
"0.041331","0.002448","0.026891"
"0.038821","0.002392","0.027307"
"0.035272","0.002272","0.027714"
"0.031860","0.002057","0.028093"
"0.028692","0.001837","0.028277"
"0.026433","0.001531","0.028414"
"0.024331","0.001217","0.028966"
"0.022511","0.000885","0.029440"
"0.020947","0.000547","0.029943"
"0.020196","0.000279","0.030277"
"0.019622","0.000159","0.030202"
"0.018916","0.000093","0.030732"
"0.018308","0.000011","0.031375"
"0.016899","0.000000","0.031905"
"0.015370","0.000000","0.032415"
"0.013794","0.000000","0.032865"
"0.012335","0.000000","0.033227"
"0.011018","0.000000","0.033859"
"0.009859","0.000113","0.033951"
"0.008665","0.000113","0.034550"
"0.008140","0.000118","0.034904"
"0.007998","0.000118","0.034967"
"0.007637","0.000133","0.035086"
"0.006854","0.000186","0.035146"
"0.006107","0.000224","0.035233"
"0.005443","0.000269","0.035373"
"0.004875","0.000434","0.034510"
"0.004307","0.000668","0.033475"
"0.003637","0.000964","0.032599"
"0.003051","0.001272","0.031514"
"0.002849","0.001590","0.030319"
"0.002678","0.001896","0.029139"
"0.002565","0.002218","0.027820"
"0.002383","0.002516","0.026956"
"0.002193","0.003071","0.025719"
"0.002088","0.003774","0.024473"
"0.001924","0.004844","0.023393"
"0.001849","0.006101","0.022500"
"0.001769","0.007429","0.021908"
"0.001680","0.008532","0.021113"
"0.001589","0.009688","0.020376"
"0.001467","0.010744","0.020101"
"0.001338","0.011750","0.020035"
"0.001250","0.012414","0.020081"
"0.001118","0.013017","0.020365"
"0.001029","0.013414","0.020484"
"0.000995","0.013734","0.020468"
"0.000988","0.013978","0.020494"
"0.000993","0.014071","0.020677"
"0.001040","0.013985","0.020788"
"0.001091","0.013644","0.020798"
"0.001203","0.012888","0.020537"
"0.001332","0.011884","0.020341"
"0.001449","0.010744","0.020333"
"0.001577","0.009886","0.020443"
"0.001672","0.008924","0.020842"
"0.001806","0.007899","0.021181"
"0.001964","0.006824","0.021386"
"0.002129","0.006053","0.021280"
"0.002267","0.005389","0.021044"
"0.002298","0.005167","0.021247"
"0.002279","0.005026","0.021672"
"0.002224","0.005015","0.022019"
"0.002222","0.004860","0.022082"
"0.002186","0.004806","0.022187"
"0.002170","0.004879","0.022402"
"0.002168","0.004994","0.022519"
"0.002220","0.005118","0.022207"
"0.002266","0.005219","0.021676"
"0.002301","0.005338","0.021149"
"0.002355","0.005464","0.020375"
"0.002383","0.005579","0.019616"
"0.002387","0.005683","0.019161"
"0.002324","0.005781","0.019207"
"0.002275","0.005912","0.019278"
"0.002318","0.005734","0.018876"
"0.002335","0.005611","0.018552"
"0.002341","0.005361","0.018536"
"0.002306","0.005357","0.018755"
"0.002285","0.005371","0.018850"
"0.002310","0.005348","0.018754"
"0.002367","0.005331","0.018612"
"0.002359","0.005260","0.018812"
"0.002356","0.005281","0.018762"
"0.002238","0.005383","0.019186"
"0.002135","0.005522","0.019498"
"0.002013","0.005685","0.019952"
"0.001948","0.005773","0.020172"
"0.001968","0.005836","0.019837"
"0.001960","0.005961","0.019663"
