"Time","2 Trdml","3 Platform","4 GM","5 Ip","6 BF","7 VL","8 St","9 TA","10 Gs","11 Gr","12 Synch","42 Ramp up","43 Ramp down","44 sw onset","45 sw offset"
1.77,0.19272,1.48440,0.00294,0.01208,0.00068,0.00068,0.00175,0.00093,0.01024,0.00400,0,0,0,0,0
1.78,0.19275,1.48469,0.00239,0.01115,0.00070,0.00060,0.00121,0.00221,-0.00965,0.00381,0,0,0,0,0
1.79,0.19387,1.48187,0.00310,0.01197,0.00072,0.00054,0.00113,0.00377,0.00262,0.00359,0,0,0,0,0
1.80,0.19382,1.48414,0.00464,0.01455,0.00071,0.00059,0.00109,0.00341,0.00400,0.00205,0,0,0,0,0
1.81,0.19458,1.48376,0.00601,0.01771,0.00073,0.00065,0.00096,0.00262,0.00289,0.00108,0,0,0,0,0
1.82,0.19481,1.48282,0.00870,0.01893,0.00068,0.00066,0.00074,0.00237,0.00538,0.00099,0,0,0,0,0
1.83,0.19478,1.48358,0.00924,0.01843,0.00070,0.00066,0.00054,0.00194,0.00453,0.00101,0,0,0,0,0
1.84,0.19453,1.48493,0.00569,0.01330,0.00081,0.00074,0.00057,0.00114,0.00355,0.00135,0,0,0,0,0
1.85,0.19522,1.48921,0.00335,0.00865,0.00082,0.00084,0.00057,0.00072,0.00298,0.00115,0,0,0,0,0
1.86,0.19526,1.48554,0.00141,0.00487,0.00074,0.00072,0.00064,0.00071,0.00355,0.00090,0,0,0,0,0
1.87,0.19469,1.48408,0.00060,0.00159,0.00075,0.00065,0.00086,0.00086,0.00323,0.00202,0,0,0,0,1
1.88,0.19447,1.48457,0.00067,0.00138,0.00083,0.00071,0.00143,0.00107,0.00051,0.00280,0,0,0,0,0
1.89,0.19376,1.48541,0.00070,0.00120,0.00103,0.00096,0.00148,0.00091,0.00560,0.00162,0,0,0,0,0
1.90,0.19370,1.48274,0.00062,0.00126,0.00106,0.00123,0.00117,0.00071,0.00491,0.00085,0,0,0,0,0
1.91,0.19377,1.48535,0.00067,0.00151,0.00094,0.00111,0.00134,0.00066,0.00065,0.00104,0,0,0,0,0
