"Time","2 Trdml","3 Platform","4 GM","5 Ip","6 BF","7 VL","8 St","9 TA","10 Gs","11 Gr","12 Synch","42 Ramp up","43 Ramp down","44 sw onset","45 sw offset"
1.71,0.19682,-1.48080,0.00321,0.00909,0.00064,0.00057,0.00160,0.00284,0.00499,0.00415,0,0,0,0,0
1.72,0.19650,-1.47845,0.00223,0.00921,0.00062,0.00056,0.00102,0.00317,0.00254,0.00352,0,0,0,0,0
1.73,0.19678,-1.47952,0.00516,0.01112,0.00068,0.00060,0.00076,0.00251,0.00233,0.00197,0,0,0,0,0
1.74,0.19717,-1.47897,0.00530,0.01223,0.00067,0.00057,0.00073,0.00180,0.00265,0.00114,0,0,0,0,0
1.75,0.19646,-1.47632,0.00285,0.01341,0.00059,0.00056,0.00058,0.00142,0.00490,0.00124,0,0,0,0,0
1.76,0.19601,-1.47716,0.00270,0.01241,0.00069,0.00060,0.00060,0.00115,0.00453,0.00161,0,0,0,0,0
1.77,0.19597,-1.47681,0.00173,0.01158,0.00080,0.00089,0.00060,0.00103,0.00807,0.00149,0,0,0,0,0
1.78,0.19582,-1.47934,0.00121,0.00877,0.00092,0.00108,0.00057,0.00100,0.00312,0.00121,0,0,0,0,0
1.79,0.19682,-1.48043,0.00095,0.00364,0.00086,0.00092,0.00063,0.00111,0.00320,0.00117,0,0,0,0,0
1.80,0.19653,-1.47903,0.00056,0.00177,0.00069,0.00088,0.00074,0.00115,0.00290,0.00093,0,0,0,0,1
1.81,0.19647,-1.48002,0.00057,0.00133,0.00073,0.00109,0.00075,0.00141,0.00327,0.00107,0,0,0,0,0
1.82,0.19601,-1.47882,0.00055,0.00132,0.00075,0.00104,0.00096,0.00144,0.00354,0.00117,0,0,0,0,0
1.83,0.19539,-1.48348,0.00057,0.00107,0.00072,0.00074,0.00134,0.00100,0.00407,0.00117,0,0,0,0,0
1.84,0.19495,-1.47689,0.00056,0.00093,0.00076,0.00063,0.00143,0.00084,0.00355,0.00113,0,0,0,0,0
1.85,0.19490,-1.47891,0.00053,0.00074,0.00074,0.00059,0.00160,0.00081,0.00320,0.00144,0,0,0,0,0
1.86,0.19463,-1.47982,0.00054,0.00076,0.00069,0.00054,0.00207,0.00069,0.00798,0.00229,0,0,0,0,0
1.87,0.19498,-1.47949,0.00053,0.00086,0.00078,0.00082,0.00216,0.00070,0.00261,0.00203,0,0,0,0,0
1.88,0.19428,-1.48091,0.00062,0.00093,0.00250,0.00136,0.00295,0.00078,0.01061,0.00131,0,0,0,0,0
1.89,0.19339,-1.47882,0.00072,0.00095,0.00339,0.00139,0.00305,0.00080,0.00290,0.00155,0,0,0,0,0
1.90,0.19308,-1.47964,0.00067,0.00112,0.00192,0.00119,0.00216,0.00080,0.00244,0.00147,0,0,0,0,0
1.91,0.19278,-1.47913,0.00066,0.00120,0.00107,0.00109,0.00171,0.00079,0.00783,0.00111,0,0,0,0,0
1.92,0.19400,-1.48221,0.00065,0.00120,0.00085,0.00106,0.00107,0.00067,0.00363,0.00103,0,0,0,0,0
