"Time","25 toey (cm)","17 Hipy (cm)"
0.873,8.828632,10.493577
0.874,8.829689,10.497025
0.875,8.830684,10.500499
0.876,8.831639,10.503987
0.877,8.832596,10.507476
0.878,8.833551,10.510964
0.879,8.834495,10.514363
0.880,8.835429,10.517707
0.881,8.836364,10.521049
0.882,8.837299,10.524393
0.883,8.838194,10.527758
0.884,8.839064,10.531137
0.885,8.839934,10.534515
0.886,8.840804,10.537893
0.887,8.841472,10.541257
0.888,8.842012,10.544611
0.889,8.842553,10.547965
0.890,8.843094,10.551319
0.891,8.843530,10.554666
0.892,8.843900,10.558008
0.893,8.844270,10.561351
0.894,8.844640,10.564693
0.895,8.844677,10.568004
0.896,8.844505,10.571293
0.897,8.844333,10.574582
0.898,8.844161,10.577872
0.899,8.843899,10.581127
0.900,8.843581,10.584360
0.901,8.843264,10.587594
0.902,8.842946,10.590827
0.903,8.842580,10.594127
0.904,8.842185,10.597468
0.905,8.841789,10.600809
0.906,8.841394,10.604151
0.907,8.840961,10.607485
0.908,8.840501,10.610815
0.909,8.840042,10.614144
0.910,8.839583,10.617475
0.911,8.838965,10.620895
0.912,8.838248,10.624372
0.913,8.837531,10.627850
0.914,8.836813,10.631327
0.915,8.835912,10.634828
0.916,8.834893,10.638345
0.917,8.833876,10.641862
0.918,8.832857,10.645379
0.919,8.831884,10.649002
0.920,8.830940,10.652694
0.921,8.829995,10.656384
0.922,8.829051,10.660075
0.923,8.828115,10.663857
0.924,8.827182,10.667694
0.925,8.826249,10.671532
0.926,8.825316,10.675370
0.927,8.825489,10.679267
0.928,8.826356,10.683202
0.929,8.827222,10.687137
0.930,8.828089,10.691072
0.931,8.829676,10.694913
0.932,8.831715,10.698694
0.933,8.833754,10.702476
0.934,8.835793,10.706257
0.935,8.839164,10.709897
0.936,8.843370,10.713450
0.937,8.847578,10.717003
0.938,8.851785,10.720555
0.939,8.856424,10.723929
0.940,8.861337,10.727192
0.941,8.866248,10.730454
0.942,8.871160,10.733717
0.943,8.876616,10.736678
0.944,8.882416,10.739450
0.945,8.888215,10.742223
0.946,8.894014,10.744995
0.947,8.900139,10.747446
0.948,8.906468,10.749694
0.949,8.912797,10.751943
0.950,8.919127,10.754190
0.951,8.925625,10.756208
0.952,8.932230,10.758082
0.953,8.938834,10.759955
0.954,8.945439,10.761829
0.955,8.952044,10.763459
0.956,8.958650,10.764936
0.957,8.965255,10.766415
0.958,8.971860,10.767892
0.959,8.978312,10.769073
0.960,8.984668,10.770070
0.961,8.991023,10.771066
0.962,8.997379,10.772062
0.963,9.002305,10.772668
0.964,9.006331,10.773028
0.965,9.010359,10.773388
0.966,9.014385,10.773748
0.967,9.017324,10.773706
0.968,9.019579,10.773411
0.969,9.021834,10.773115
0.970,9.024089,10.772820
0.971,9.025110,10.772016
0.972,9.025354,10.770891
0.973,9.025599,10.769766
0.974,9.025845,10.768641
0.975,9.025609,10.767020
0.976,9.025070,10.765087
0.977,9.024532,10.763153
0.978,9.023994,10.761220
0.979,9.022952,10.758635
0.980,9.021593,10.755639
0.981,9.020235,10.752645
0.982,9.018876,10.749649
0.983,9.017327,10.746129
0.984,9.015658,10.742277
0.985,9.013989,10.738426
0.986,9.012321,10.734575
0.987,9.009450,10.730303
0.988,9.005823,10.725765
