"Time","v3 L COP","v2 R COP","49 RDS cle","47 R marks","39 FRx (cm)","35 HRx (cm)","v1 xCoM","42 CoMy (cm)","50 LDS cle","48 L marks","37 FLx (cm)","33 HLx (cm)","3 Platform"
0.154,0.000000,0.000000,0,0,17.324669,15.018434,5.562267,5.497581,0,0,17.698208,12.513588,-0.00007
0.155,0.000000,0.000000,0,0,17.355795,15.018844,5.571001,5.498658,0,0,17.692322,12.536943,0.00001
0.156,0.000000,0.000000,0,0,17.386959,15.018246,5.579820,5.499870,0,0,17.685997,12.561455,-0.00023
0.157,0.000000,0.000000,0,0,17.418242,15.014493,5.588798,5.501504,0,0,17.678301,12.589585,0.00008
0.158,0.000000,0.000000,0,0,17.449522,15.010741,5.597865,5.503139,0,0,17.670607,12.617715,-0.00008
0.159,0.000000,0.000000,0,0,17.480804,15.006989,5.607097,5.504773,0,0,17.662912,12.645845,-0.00001
0.160,0.000000,0.000000,0,0,17.512070,15.002402,5.616433,5.506610,0,0,17.654877,12.681376,0.00007
0.161,0.000000,0.000000,0,0,17.543280,14.995204,5.625963,5.509084,0,0,17.645777,12.740090,0.00015
0.162,0.000000,0.000000,0,0,17.574492,14.988006,5.635608,5.511558,0,0,17.636677,12.798803,0.00008
0.163,0.000000,0.000000,0,0,17.605701,14.980807,5.645466,5.514032,0,0,17.627577,12.857517,-0.00001
0.164,0.000000,0.000000,0,0,17.636850,14.972942,5.655436,5.516718,0,0,17.618330,12.910897,-0.00008
0.165,0.000000,0.000000,0,0,17.667805,14.962988,5.665617,5.520072,0,0,17.608622,12.947568,0.00008
0.166,0.000000,0.000000,0,0,17.698757,14.953032,5.675863,5.523425,0,0,17.598913,12.984240,0.00023
0.167,0.000000,0.000000,0,0,17.729712,14.943078,5.686234,5.526778,0,0,17.589205,13.020911,-0.00015
0.168,0.000000,0.000000,0,0,17.760601,14.932964,5.696621,5.530289,0,0,17.579498,13.058420,0.00000
0.169,0.000000,0.000000,0,0,17.791288,14.922352,5.707039,5.534290,0,0,17.569799,13.098554,-0.00007
0.170,0.000000,0.000000,0,0,17.821978,14.911740,5.717468,5.538291,0,0,17.560101,13.138687,0.00008
0.171,0.000000,0.000000,0,0,17.852665,14.901128,5.727916,5.542292,0,0,17.550402,13.178821,-0.00001
0.172,0.000000,0.000000,0,0,17.883316,14.890499,5.738383,5.546460,0,0,17.540794,13.219830,0.00023
0.173,0.000000,0.000000,0,0,17.913853,14.879820,5.748883,5.551152,0,0,17.531471,13.263578,0.00023
0.174,0.000000,0.000000,0,0,17.944389,14.869141,5.759409,5.555844,0,0,17.522148,13.307328,0.00000
0.175,0.000000,0.000000,0,0,17.974926,14.858461,5.769985,5.560536,0,0,17.512823,13.351078,0.00015
0.176,0.000000,0.000000,0,0,18.005377,14.847711,5.780579,5.565409,0,0,17.503420,13.395382,-0.00007
0.177,0.000000,0.000000,0,0,18.035561,14.836738,5.791207,5.570847,0,0,17.493763,13.441422,-0.00008
0.178,0.000000,0.000000,0,0,18.065742,14.825764,5.801764,5.576284,0,0,17.484106,13.487463,0.00008
0.179,0.000000,0.000000,0,0,18.095924,14.814791,5.812188,5.581721,0,0,17.474451,13.533504,0.00000
0.180,0.000000,0.000000,0,0,18.125994,14.803749,5.822452,5.587317,0,0,17.464830,13.579874,0.00001
0.181,0.000000,0.000000,0,0,18.155703,14.792494,5.832416,5.593411,0,0,17.455322,13.627279,-0.00007
0.182,0.000000,0.000000,0,0,18.185413,14.781238,5.842237,5.599504,0,0,17.445814,13.674685,0.00008
0.183,0.000000,0.000000,0,0,18.215124,14.769982,5.851792,5.605598,0,0,17.436306,13.722090,-0.00007
0.184,0.000000,0.000000,0,0,18.244524,14.758733,5.861234,5.611871,0,0,17.426874,13.769755,0.00008
0.185,0.000000,0.000000,0,0,18.272949,14.747502,5.870465,5.618708,0,0,17.417681,13.818239,0.00015
0.186,0.000000,0.000000,0,0,18.301374,14.736271,5.879522,5.625546,0,0,17.408485,13.866722,-0.00016
0.187,0.000000,0.000000,0,0,18.329800,14.725040,5.888251,5.632382,0,0,17.399292,13.915206,-0.00001
0.188,0.000000,0.000000,0,0,18.357847,14.713877,5.896730,5.639217,0,0,17.390133,13.964231,0.00000
0.189,0.000000,0.000000,0,0,18.384706,14.702924,5.904743,5.646041,0,0,17.381090,14.014948,0.00000
0.190,0.000000,0.000000,0,0,18.411568,14.691971,5.912506,5.652866,0,0,17.372046,14.065666,0.00015
0.191,0.000000,0.000000,0,0,18.438427,14.681018,5.919798,5.659690,0,0,17.363001,14.116384,-0.00016
0.192,0.000000,0.000000,0,0,18.464701,14.670076,5.926874,5.666497,0,0,17.353949,14.167372,-0.00007
0.193,0.000000,0.000000,0,0,18.489130,14.659173,5.933543,5.673250,0,0,17.344868,14.219205,-0.00015
0.194,0.000000,0.000000,0,0,18.513561,14.648269,5.940096,5.680003,0,0,17.335789,14.271038,0.00015
0.195,0.000000,0.000000,0,0,18.537992,14.637365,5.946432,5.686756,0,0,17.326708,14.322871,0.00008
0.196,0.000000,0.000000,0,0,18.561438,14.626640,5.952740,5.693509,0,0,17.317669,14.374861,0.00009
0.197,0.000000,0.000000,0,0,18.581795,14.616479,5.958999,5.700265,0,0,17.308758,14.427341,0.00000
0.198,0.000000,0.000000,0,0,18.602154,14.606317,5.965180,5.707021,0,0,17.299847,14.479819,-0.00015
0.199,0.000000,0.000000,0,0,18.622511,14.596155,5.971217,5.713777,0,0,17.290936,14.532299,0.00015
0.200,0.000000,0.000000,0,0,18.641235,14.586280,5.977107,5.720400,0,0,17.282030,14.584859,-0.00015
0.201,0.000000,0.000000,0,0,18.654839,14.577301,5.982721,5.726605,0,0,17.273136,14.637669,0.00015
0.202,0.000000,0.000000,0,0,18.668444,14.568322,5.988224,5.732810,0,0,17.264242,14.690478,0.00023
0.203,0.000000,0.000000,0,0,18.682047,14.559343,5.993516,5.739016,0,0,17.255348,14.743288,0.00008
0.204,0.000000,0.000000,0,0,18.694023,14.550772,5.998743,5.745138,0,0,17.246466,14.795843,-0.00015
0.205,0.000000,0.000000,0,0,18.700907,14.543471,6.003847,5.751000,0,0,17.237614,14.847604,0.00007
0.206,0.000000,0.000000,0,0,18.707790,14.536172,6.008850,5.756863,0,0,17.228764,14.899364,0.00000
0.207,0.000000,0.000000,0,0,18.714674,14.528872,6.013661,5.762726,0,0,17.219912,14.951125,-0.00015
0.208,0.000000,0.000000,0,0,18.720154,14.522031,6.018313,5.768541,0,0,17.211161,15.002521,0.00031
0.209,0.000000,0.000000,0,0,18.721233,14.516624,6.022667,5.774207,0,0,17.202719,15.052773,0.00015
0.210,0.000000,0.708565,0,0,18.722311,14.511218,6.026827,5.779872,0,0,17.194277,15.103027,0.00008
0.211,0.000000,2.744670,0,1,18.723391,14.505811,6.030620,5.785537,0,0,17.185837,15.153280,0.00007
0.212,0.000000,4.074060,1,0,18.723131,14.501089,6.034184,5.791153,0,0,17.177361,15.202891,0.00031
0.213,0.000000,4.079374,1,0,18.718674,14.498514,6.037315,5.796613,0,0,17.168779,15.250495,-0.00015
0.214,0.000000,4.084708,1,0,18.714216,14.495938,6.040160,5.802073,0,0,17.160196,15.298098,-0.00008
0.215,0.000000,4.090081,1,0,18.709759,14.493362,6.042465,5.807533,0,0,17.151615,15.345700,-0.00016
0.216,0.000000,3.381301,1,1,18.704481,14.491545,6.044427,5.812868,0,0,17.143061,15.392639,0.00001
0.217,0.000000,1.334509,0,0,18.696629,14.492100,6.045745,5.817808,0,0,17.134600,15.437499,-0.00015
0.218,0.000000,0.000000,0,0,18.688776,14.492655,6.046707,5.822749,0,0,17.126137,15.482359,0.00000
0.219,0.000000,0.000000,0,0,18.680923,14.493211,6.047000,5.827689,0,0,17.117676,15.527219,0.00001
0.220,0.000000,0.000000,0,0,18.672657,14.494584,6.046946,5.832520,0,0,17.109228,15.571186,0.00007
0.221,0.000000,0.000000,0,0,18.663088,14.498520,6.046240,5.837008,0,0,17.100830,15.612354,0.00000
0.222,0.000000,0.000000,0,0,18.653519,14.502456,6.045236,5.841496,0,0,17.092430,15.653522,0.00015
0.223,0.000000,0.000000,0,0,18.643951,14.506392,6.043675,5.845984,0,0,17.084032,15.694691,0.00015
0.224,0.000000,0.000000,0,0,18.634220,14.511023,6.041868,5.850355,0,0,17.075596,15.734789,0.00015
0.225,0.000000,0.000000,0,0,18.623978,14.517833,6.039599,5.854362,0,0,17.067041,15.771534,0.00023
0.226,0.000000,0.000000,0,0,18.613737,14.524644,6.037078,5.858370,0,0,17.058487,15.808278,0.00000
0.227,0.000000,0.000000,0,0,18.603495,14.531454,6.034084,5.862378,0,0,17.049932,15.845023,0.00007
0.228,0.000000,0.000000,0,0,18.593153,14.538981,6.030827,5.866177,0,0,17.041374,15.880743,0.00015
0.229,0.000000,0.000000,0,0,18.582502,14.548755,6.027077,5.869327,0,0,17.032804,15.913253,0.00015
0.230,0.000000,0.000000,0,0,18.571850,14.558528,6.023110,5.872476,0,0,17.024235,15.945764,-0.00001
0.231,0.000000,0.000000,0,0,18.561197,14.568301,6.018738,5.875626,0,0,17.015665,15.978273,-0.00008
